Source,Target,Weights
t,elny,1
t,rzym,1
t,ape,1
t,run,1
t,rowa,1
t,ąż,1
t,usowy,1
t,rolog,1
t,ep,1
t,rzę,1
t,órny,1
t,leta,1
t,yna,1
t,afia,1
t,afian,1
t,wica,1
t,ark,1
t,ad,1
t,elnik,1
t,empe,1
t,encj,1
t,ykać,1
t,awc,1
t,astrofa,1
t,ude,1
t,łowstręt,1
t,ent,1
t,awienie,1
t,awie,1
t,yżerka,1
t,yże,1
t,rząb,1
t,rzą,1
t,arium,1
t,kn,1
t,aro,1
t,olo,1
t,oi,1
t,yf,1
t,uł,1
t,yczka,1
t,rzenie,1
t,oska,1
t,in,1
t,eni,1
t,ęsk,1
t,leć,1
t,yc,1
t,ofon,1
t,monet,1
t,osłup,1
t,auto,1
t,ule,1
t,okół,1
t,radać,1
t,un,1
t,rw,1
t,oka,1
t,rzemie,1
t,wiać,1
t,ert,1
t,yzm,1
t,es,1
t,ula,1
t,ynowy,1
t,ymi,1
t,chła,1
t,raj,1
t,art,1
t,ariusz,1
t,kować,1
t,ryj,1
t,afa,1
t,rate,1
t,eg,1
t,orek,1
t,entować,1
t,alia,1
t,elniejszy,1
t,emat,1
t,ysta,1
t,aryna,1
t,ualny,1
t,ena,1
t,yra,1
t,oc,1
t,ymny,1
t,ymn,1
t,ym,1
t,ułka,1
t,akt,1
t,rzega,1
t,ystyk,1
t,rudny,1
t,róż,1
t,ano,1
t,nisko,1
t,nisk,1
r,oli,1
r,afka,1
r,umia,1
r,tło,1
r,lin,1
r,wini,1
r,win,1
r,ger,1
r,wany,1
r,yca,1
r,epr,1
r,zanie,1
r,eplik,1
r,zyciel,1
r,uba,1
r,mis,1
r,ogan,1
r,yfikat,1
r,dzać,1
r,afian,1
r,osi,1
r,skać,1
r,sta,1
r,want,1
r,apać,1
r,edny,1
r,ed,1
r,ąb,1
r,enta,1
r,onautka,1
r,szeń,1
r,ociąg,1
r,uroc,1
r,ianin,1
r,ownia,1
r,owni,1
r,zm,1
r,sarz,1
r,atrak,1
r,sjanin,1
r,sjan,1
r,omierz,1
r,omi,1
r,net,1
r,asistka,1
r,nołużycki,1
r,zbić,1
r,asista,1
r,ymski,1
r,giczny,1
r,pe,1
r,ement,1
r,eme,1
r,ubi,1
r,owe,1
r,epo,1
r,oski,1
r,zysk,1
r,zyni,1
r,ys,1
r,ownica,1
r,gani,1
r,oce,1
r,zeni,1
r,akus,1
r,zat,1
r,obić,1
r,yjny,1
r,otka,1
r,towanie,1
r,ęcz,1
r,uści,1
r,aźniejszy,1
r,yczeć,1
r,aci,1
r,óg,1
r,mo,1
r,mos,1
r,zel,1
r,uszeczka,1
r,uszec,1
r,gniony,1
r,gni,1
r,ych,1
r,orystyczny,1
r,ro,1
r,ynk,1
r,ans,1
r,iol,1
r,emia,1
r,kus,1
r,nogra,1
r,gi,1
r,batka,1
r,chan,1
r,nion,1
r,amb,1
r,ag,1
r,uszka,1
r,czę,1
r,ypa,1
r,osłup,1
r,bu,1
r,ąż,1
r,óż,1
r,ks,1
r,amol,1
r,zeg,1
r,atywny,1
r,ocz,1
r,żanie,1
r,etka,1
r,afia,1
r,zyst,1
r,pio,1
r,pi,1
r,bic,1
r,szywy,1
r,yd,1
r,ła,1
r,odu,1
r,api,1
r,oż,1
r,dzić,1
r,ów,1
r,onik,1
r,wal,1
r,obi,1
r,odat,1
r,ste,1
r,ofil,1
r,oman,1
r,zew,1
r,adło,1
r,adzić,1
r,ołó,1
r,aktyka,1
r,niczy,1
r,osto,1
r,azowy,1
r,kowanie,1
r,ofizyka,1
r,ach,1
r,aczać,1
r,ować się,1
r,komp,1
r,zyński,1
r,ynarz,1
r,mata,1
r,oki,1
r,upka,1
r,atu,1
r,atura,1
r,ebka,1
r,zany,1
r,zn,1
r,ośl,1
r,kie,1
r,mat,1
r,opel,1
r,la,1
r,zbie,1
r,zbi,1
r,oko,1
r,nc,1
r,oniec,1
r,edzić,1
r,omb,1
r,wan,1
r,amista,1
r,ogr,1
r,anek,1
r,abs,1
r,zerwa,1
r,zerw,1
r,udycja,1
r,anizacja,1
r,aniz,1
r,owca,1
r,und,1
r,zysta,1
r,ukować,1
r,zow,1
r,yzys,1
r,adny,1
r,ealista,1
r,koc,1
r,koci,1
r,min,1
r,wie,1
r,zęst,1
r,ygodny,1
r,peta,1
r,akieta,1
r,akiet,1
r,dystyczny,1
r,etniejszy,1
r,han,1
r,ymsk,1
r,chu,1
r,etycki,1
r,ska,1
r,uczek,1
r,dl,1
r,udy,1
r,oma,1
r,omen,1
r,oższy,1
r,watka,1
r,most,1
r,anc,1
r,liczka,1
r,licz,1
r,usza,1
r,czyk,1
r,obry,1
r,ywać,1
r,una,1
r,dio,1
r,tr,1
r,tre,1
r,asny,1
r,ście,1
r,wiast,1
r,cja,1
r,ywarka,1
r,zki,1
r,fi,1
r,gan,1
r,atyna,1
r,aty,1
r,ens,1
r,zydł,1
r,udzik,1
r,kty,1
r,afi,1
r,ogu,1
r,ke,1
r,atek,1
r,barz,1
r,etny,1
r,ium,1
r,tel,1
r,zić,1
r,odni,1
r,odn,1
r,olej,1
r,bie,1
r,ężnic,1
r,uczeć,1
r,ończyk,1
r,ysk,1
r,ystyka,1
r,uta,1
r,ostek,1
r,ówni,1
r,uzda,1
r,acj,1
r,ce,1
r,ozwa,1
r,ywka,1
r,ku,1
r,ęczyć,1
r,ozo,1
r,zywa,1
r,zmie,1
r,abić,1
r,eta,1
r,bin,1
r,bina,1
r,awo,1
r,óżka,1
r,azić,1
r,ez,1
r,eś,1
r,zekać,1
r,sztu,1
r,szt,1
r,ętka,1
r,ank,1
r,onia,1
r,ybo,1
r,ado,1
r,liwo,1
r,nina,1
r,akać,1
r,atorium,1
r,przest,1
r,obot,1
r,dowanie,1
r,koło,1
r,abat,1
r,opia,1
r,zyw,1
r,ozum,1
r,aul,1
r,yczka,1
r,oza,1
r,eat,1
r,ers,1
r,am,1
r,opa,1
r,odowy,1
r,obo,1
r,nować,1
r,ągły,1
r,lotka,1
r,lot,1
r,ót,1
r,emie,1
r,set,1
r,ektor,1
r,ekt,1
r,yto,1
r,adzi,1
r,żu,1
r,aga,1
r,kotka,1
r,zon,1
r,sykański,1
r,oś,1
r,zydło,1
r,gen,1
r,agraf,1
r,agra,1
r,etyczny,1
r,unat,1
r,ion,1
r,acki,1
r,ukowiec,1
r,gaz,1
r,uzi,1
r,ośba,1
r,ył,1
r,otyczny,1
r,eoni,1
r,udzi,1
r,tog,1
r,tograf,1
r,utować,1
r,uko,1
r,ekon,1
r,ute,1
r,ul,1
r,kin,1
r,owadz,1
r,alijski,1
r,ali,1
r,ęczniejszy,1
r,meński,1
r,me,1
r,unek,1
r,dalny,1
r,yfikować,1
r,wc,1
r,zać się,1
r,usk,1
r,zyna,1
r,ne,1
r,io,1
r,mon,1
r,emny,1
r,ówny,1
r,chista,1
r,yle,1
o,ligator,1
o,życzyć,1
o,drz,1
o,szły,1
o,man,1
o,mik,1
o,rny,1
o,zo,1
o,lować,1
o,pola,1
o,niemiecki,1
o,tangens,1
o,siadać,1
o,cho,1
o,widło,1
o,wid,1
o,tworzyć,1
o,rszy,1
o,mada,1
o,sza,1
o,dzieło,1
o,bot,1
o,morf,1
o,morfi,1
o,terapeut,1
o,ter,1
o,terap,1
o,bur,1
o,teryczny,1
o,czek,1
o,mon,1
o,alet,1
o,netyczny,1
o,czw,1
o,bl,1
o,bli,1
o,ke,1
o,rs,1
o,rst,1
o,licznik,1
o,liczn,1
o,dszy,1
o,brą,1
o,los,1
o,tewski,1
o,rozmawiać,1
o,rozm,1
o,staj,1
o,rab,1
o,sinus,1
o,sobow,1
o,drad,1
o,ślina,1
o,lega,1
o,wnictwo,1
o,lat,1
o,zwód,1
o,we,1
o,iczek,1
o,icz,1
o,lka,1
o,nty,1
o,zmyśl,1
o,pacz,1
o,astronom,1
o,ast,1
o,tygodniowy,1
o,pla,1
o,zdr,1
o,czeka,1
o,gan,1
o,rnet,1
o,brązowy,1
o,brązow,1
o,srać,1
o,lejka,1
o,kła,1
o,pski,1
o,dmie,1
o,uf,1
o,szuka,1
o,szar,1
o,ponować,1
o,rtograficzny,1
o,łoż,1
o,wschodni,1
o,wschod,1
o,kuta,1
o,magać,1
o,widz,1
o,nać,1
o,stka,1
o,dyna,1
o,żółt,1
o,jawi,1
o,rstwo,1
o,być,1
o,wiet,1
o,krzem,1
o,krz,1
o,ronić,1
o,roni,1
o,mylny,1
o,ływać,1
o,strof,1
o,kt,1
o,gr,1
o,golić się,1
o,golić,1
o,grzebać,1
o,pełn,1
o,rologiczny,1
o,dnia,1
o,dn,1
o,całun,1
o,lend,1
o,łącze,1
o,met,1
o,cena,1
o,mal,1
o,tel,1
o,rtyza,1
o,ranek,1
o,krope,1
o,dzielny,1
o,dzienny,1
o,dzienn,1
o,wnicz,1
o,rąg,1
o,bank,1
o,kazać,1
o,ros,1
o,liczalny,1
o,znawca,1
o,cent,1
o,tyl,1
o,nariusz,1
o,mora,1
o,czerw,1
o,koreański,1
o,liwa,1
o,czta,1
o,rad,1
o,seksualista,1
o,seksual,1
o,sek,1
o,szcz,1
o,szczę,1
o,żyw,1
o,boż,1
o,łodziej,1
o,cenić,1
o,sien,1
o,skar,1
o,prawianie,1
o,rat,1
o,moc,1
o,du,1
o,szpu,1
o,trawa,1
o,traw,1
o,tra,1
o,jęt,1
o,wad,1
o,aktywny,1
o,akty,1
o,znać,1
o,dem,1
o,spo,1
o,rn,1
o,só,1
o,sób,1
o,testament,1
o,szczel,1
o,piek,1
o,rega,1
o,gór,1
o,kruc,1
o,lowy,1
o,low,1
o,towa,1
o,dro,1
o,lub,1
o,roczny,1
o,rocz,1
o,łow,1
o,łowy,1
o,racja,1
o,zw,1
o,nika,1
o,pać,1
o,park,1
o,par,1
o,łódka,1
o,szukać,1
o,śnia,1
o,wiedzenie,1
o,rni,1
o,sad,1
o,sada,1
o,sować,1
o,sowa,1
o,patologia,1
o,chow,1
o,nizować,1
o,starczać,1
o,pie,1
o,głó,1
o,głów,1
o,us,1
o,state,1
o,ist,1
o,wnic,1
o,rozumie,1
o,była,1
o,ciągły,1
o,glądać,1
o,wcz,1
o,rzyst,1
o,pozycja,1
o,tek,1
o,dzia,1
o,zdo,1
o,nor,1
o,żen,1
o,angielski,1
o,zić,1
o,lewka,1
o,naty,1
o,dliwy,1
o,in,1
o,ser,1
o,nica,1
o,wca,1
o,ruch,1
o,lanowy,1
o,cel,1
o,latarnia,1
o,latarni,1
o,latar,1
o,matolog,1
o,fać,1
o,rf,1
o,sma,1
o,menda,1
o,sjanin,1
o,ryzm,1
o,kurator,1
o,kura,1
o,szczers,1
o,osobowy,1
o,os,1
o,bowy,1
o,kierun,1
o,etyc,1
o,etycki,1
o,ryjski,1
o,jemny,1
o,tlenek,1
o,tatarski,1
o,łza,1
o,wian,1
o,cy,1
o,niony,1
o,lit,1
o,żowy,1
o,nienie,1
o,relacja,1
o,oker,1
o,dać,1
o,perz,1
o,men,1
o,rniak,1
o,szuk,1
o,ściowy,1
o,chan,1
o,cj,1
o,ryś,1
o,słuchanie,1
o,grz,1
o,grzeb,1
o,cian,1
o,cia,1
o,noc,1
o,tog,1
o,tograf,1
o,nowoczesn,1
o,czesn,1
o,czes,1
o,pin,1
o,nizm,1
o,wisko,1
o,dar,1
o,lenie,1
o,kole,1
o,zostaw,1
o,krywać,1
o,mara,1
o,ner,1
o,zyc,1
o,chron,1
o,brać,1
o,narod,1
o,lacja,1
o,ścić,1
o,powieść,1
o,powie,1
o,per,1
o,rd,1
o,łać,1
o,gl,1
o,chizm,1
o,dw,1
o,tn,1
o,bala,1
o,związ,1
o,kacja,1
o,nywalny,1
o,łud,1
o,at,1
o,ren,1
o,teczka,1
o,kwas,1
o,dniczka,1
o,media,1
o,med,1
o,stawi,1
o,autor,1
o,polski,1
o,roż,1
o,tle,1
o,pro,1
o,dniowy,1
o,dło,1
o,równy,1
o,równ,1
o,gun,1
o,sprawny,1
o,niec,1
o,prowadzić,1
o,sfora,1
o,niczy,1
o,biograf,1
o,głoska,1
o,gł,1
o,głos,1
o,mist,1
o,mistka,1
o,paliwo,1
o,pali,1
o,zcza,1
o,kostn,1
o,nalny,1
o,mentarz,1
o,stęp,1
o,dok,1
o,god,1
o,stek,1
o,miar,1
o,mia,1
o,cis,1
o,cisk,1
o,ci,1
o,system,1
o,pra,1
o,języczny,1
o,rowi,1
o,row,1
o,naliz,1
o,bułgarski,1
o,roś,1
o,świad,1
o,mol,1
o,rszcz,1
o,krzywa,1
o,krzyw,1
o,liga,1
o,leża,1
o,ryk,1
o,żn,1
o,sławny,1
o,łyk,1
o,mu,1
o,ps,1
o,skop,1
o,strzany,1
o,słow,1
o,szek,1
o,szm,1
o,rob,1
o,roba,1
o,kazywać,1
o,powiadać,1
o,wia,1
o,neczk,1
o,zmyślić,1
o,śni,1
o,szy,1
o,rator,1
o,rato,1
o,żeniec,1
o,czk,1
o,licja,1
o,lim,1
o,korn,1
o,łomny,1
o,listy,1
o,pia,1
o,polit,1
o,giczniejszy,1
o,rda,1
o,win,1
o,zum,1
o,tycki,1
o,wak,1
o,szerny,1
o,sze,1
o,rtowy,1
o,gni,1
o,krata,1
o,życz,1
o,afrykań,1
o,ram,1
o,kość,1
o,fic,1
o,sfor,1
o,pierdolić,1
o,pierdo,1
o,europ,1
o,pejski,1
o,dry,1
o,linia,1
o,próżni,1
o,próżn,1
o,pró,1
o,pat,1
o,żytek,1
o,rozmawianie,1
o,rozmawia,1
o,palenie,1
o,rna,1
o,kru,1
o,waż,1
o,cić się,1
o,wek,1
o,jen,1
o,głow,1
o,gło,1
o,strzegać,1
o,błęd,1
o,bać,1
o,letka,1
o,moda,1
o,kie,1
o,zja,1
o,larka,1
o,śn,1
o,szka,1
o,nd,1
o,grom,1
o,łąd,1
o,puch,1
o,pucha,1
o,liczny,1
o,chro,1
o,seksualn,1
o,świetlać,1
o,świe,1
o,twierdzić,1
o,nog,1
o,nogra,1
o,gram,1
o,rk,1
o,żka,1
o,licze,1
o,liw,1
o,rzeczni,1
o,żądać,1
o,żąd,1
o,komo,1
o,moty,1
o,lorowy,1
o,przed,1
o,łę,1
o,stępny,1
o,siłek,1
o,jawić się,1
o,przedz,1
o,wtór,1
o,logiczn,1
o,dochodzić,1
o,kobr,1
o,wieczny,1
o,tecz,1
o,jać się,1
o,gaw,1
o,dziwi,1
o,wany,1
o,nany,1
o,noga,1
o,mentowanie,1
o,so,1
o,kont,1
o,znacz,1
o,strzałka,1
o,strzał,1
o,strz,1
o,wieść,1
o,zm,1
o,rta,1
o,leb,1
o,tę,1
o,lak,1
o,wiedz,1
o,tru,1
o,śmier,1
o,śmie,1
o,olo,1
o,skon,1
o,nał,1
o,sika,1
o,głowa,1
o,tos,1
o,syn,1
o,raż,1
o,pt,1
tor,m,1
tor,a,1
tor,s,1
tor,c,1
tor,ek,1
tor,e,1
ro,li,1
ro,zk,1
ro,bi,1
ro,da,1
ro,o,1
ro,lina,1
ro,mniejszy,1
ro,ni,1
ro,niec,1
ro,nienie,1
ro,ć,1
ro,nia,1
ro,nicz,1
ro,ch,1
l,tówka,1
l,emnik,1
l,ace,1
l,anty,1
l,ops,1
l,ete,1
l,achar,1
l,ies,1
l,da,1
l,sa,1
l,bi,1
l,igra,1
l,igr,1
l,oi,1
l,te,1
l,ke,1
l,uc,1
l,win,1
l,ecać,1
l,mo,1
l,czo,1
l,ocha,1
l,och,1
l,oc,1
l,udow,1
l,einowy,1
l,onia,1
l,aba,1
l,atorium,1
l,angusta,1
l,ol,1
l,ografia,1
l,ograf,1
l,arn,1
l,iwość,1
l,ip,1
l,il,1
l,iga,1
l,ig,1
l,ijka,1
l,wie,1
l,apoński,1
l,oni,1
l,cownik,1
l,imb,1
l,eniec,1
l,ef,1
l,emon,1
l,oj,1
l,io,1
l,mowa,1
l,ejowy,1
l,odow,1
l,isk,1
l,ory,1
l,ech,1
l,ner,1
l,ian,1
l,iana,1
l,achcianka,1
l,ach,1
l,ąt,1
l,atyna,1
l,aty,1
l,arstwo,1
l,arst,1
l,eno,1
l,mono,1
l,egar,1
l,ucyjny,1
l,ogar,1
l,ask,1
l,ament,1
l,eczko,1
l,eczk,1
l,akt,1
l,eb,1
l,up,1
l,kin,1
l,azow,1
l,aktyka,1
l,eśn,1
l,istka,1
l,kość,1
l,ustr,1
l,ęg,1
l,arwa,1
l,ikać,1
l,bo,1
l,borski,1
l,edoński,1
l,bański,1
l,nicz,1
l,niczy,1
l,iański,1
l,iwiec,1
l,ęcz,1
l,arni,1
l,epić,1
l,ubić,1
l,emi,1
l,ewski,1
l,ir,1
l,emat,1
l,odówka,1
l,enić,1
l,icie,1
l,ochron,1
l,ans,1
l,gi,1
l,ądr,1
l,utny,1
l,ed,1
l,ikie,1
l,iz,1
l,ej,1
l,aska,1
l,uzy,1
l,eme,1
l,ano,1
l,anowy,1
l,gnąć,1
l,iniowy,1
l,afi,1
l,ubi,1
l,brz,1
l,iberyjski,1
l,asz,1
l,isty,1
l,ipie,1
l,ont,1
l,we,1
l,der,1
l,ęcie,1
l,fianin,1
l,umi,1
l,omb,1
l,usz,1
l,etny,1
l,iot,1
l,śn,1
l,śni,1
l,azur,1
l,mama,1
l,eba,1
l,eki,1
l,ion,1
l,otk,1
l,eon,1
l,oż,1
l,iczek,1
l,fi,1
l,ima,1
l,oko,1
l,orowy,1
l,enek,1
l,sam,1
l,iszcz,1
l,osowy,1
l,oso,1
l,awe,1
l,otnik,1
l,nołużycki,1
l,ebka,1
l,ąski,1
l,ale,1
l,itr,1
l,im,1
l,aski,1
l,ul,1
l,omet,1
l,ome,1
g,ato,1
g,lacja,1
g,ęga,1
g,lut,1
g,ens,1
g,arytm,1
g,łaz,1
g,ołą,1
g,alski,1
g,lowy,1
g,ister,1
g,ódka,1
g,ac,1
g,ene,1
g,matyczny,1
g,et,1
g,uł,1
g,ułka,1
g,nanie,1
g,ła,1
g,łośnik,1
g,as,1
g,zot,1
g,lic,1
g,ne,1
g,last,1
g,orsz,1
g,od,1
g,og,1
g,nisk,1
g,otowy,1
g,usta,1
g,anek,1
g,net,1
g,rod,1
g,łodniejszy,1
g,mina,1
g,min,1
g,rzeb,1
g,ama,1
g,nio,1
g,oski,1
g,osk,1
g,wint,1
g,onom,1
g,iski,1
g,is,1
g,nor,1
g,astrofa,1
g,astro,1
g,ęś,1
g,uła,1
g,łuc,1
g,wia,1
g,umow,1
g,romny,1
g,rawi,1
g,raw,1
g,racz,1
g,oce,1
g,ocentryzm,1
g,mit,1
g,onia,1
g,rzeczni,1
g,ierk,1
g,ubić,1
g,osp,1
g,rań,1
g,linia,1
g,ano,1
g,órkowy,1
g,urt,1
g,ora,1
g,azowy,1
g,ią,1
g,olski,1
g,raba,1
g,ąb,1
g,ażowa,1
g,utacja,1
g,ut,1
g,it,1
g,ed,1
g,roz,1
g,ot,1
g,ran,1
g,ania,1
g,alo,1
g,rafi,1
g,osłowiański,1
g,eolog,1
g,awor,1
g,actwo,1
g,orz,1
g,olon,1
g,nó,1
g,oto,1
g,otow,1
g,oś,1
g,ocj,1
g,end,1
g,netyczny,1
g,ini,1
g,osłup,1
g,eniczny,1
g,lować,1
g,rywa,1
g,onizować,1
g,ałka,1
g,órny,1
g,arba,1
g,anizacja,1
g,odn,1
g,rys,1
g,lis,1
g,anizm,1
g,ówni,1
g,ów,1
g,odzina,1
g,rzymka,1
g,amista,1
g,ami,1
g,ustr,1
g,rzmie,1
g,rabi,1
g,rab,1
g,op,1
g,rosz,1
g,orli,1
g,oty,1
g,oryczka,1
g,nać,1
g,ęstszy,1
g,wajski,1
g,nalizac,1
g,naliz,1
g,łowie,1
g,urować,1
g,łu,1
g,leb,1
g,odniejszy,1
g,ijny,1
g,abi,1
g,ab,1
g,żó,1
g,że,1
g,łęb,1
g,łę,1
g,ug,1
g,ren,1
g,rega,1
g,ór,1
g,awka,1
g,zosfera,1
g,atyw,1
g,łód,1
g,ieł,1
g,łość,1
g,alny,1
g,oni,1
g,onić,1
int,y,1
li,zyna,1
li,tyczny,1
li,co,1
li,się,1
li,ański,1
li,cja,1
li,ni,1
li,to,1
li,ka,1
intr,o,1
ga,to,1
ga,ro,1
ga,s,1
ga,nek,1
ga,ń,1
ga,b,1
ga,miczny,1
ntro,l,1
to,a,1
to,ń,1
to,c,1
to,o,1
to,nik,1
to,ński,1
to,czny,1
oli,g,1
oli,m,1
oli,a,1
oli,s,1
oli,n,1
oli,c,1
oli,czny,1
ato,m,1
ato,nik,1
ły,?,1
ły,c,1
ły,ka,1
ły,ki,1
ka,ny,1
ka,na,1
ka,ła,1
ka,mi,1
ka,ry,1
ka,tec,1
ka,wal,1
ka,ra,1
ka,ta,1
ka,pust,1
ka,tur,1
ka,tu,1
ka,rt,1
ka,czka,1
ż,ący,1
ż,mija,1
ż,owawy,1
ż,aba,1
ż,liwy,1
ż,ąć,1
ż,ub,1
ż,nion,1
ż,ałować,1
ż,ywy,1
ż,bik,1
ż,erka,1
ż,sa,1
ż,sam,1
ż,samo,1
ż,dże,1
ż,ysta,1
ż,kowy,1
ż,ystka,1
ż,ys,1
ż,ywać,1
ż,onat,1
ż,agie,1
ż,agi,1
ż,ona,1
ż,ura,1
ż,ebra,1
ż,ywo,1
ż,niać,1
ż,uchw,1
ż,ag,1
ż,arna,1
ż,own,1
ż,nobi,1
ż,nic,1
ż,aneczka,1
ż,yl,1
ż,arn,1
ż,arni,1
ż,ony,1
ż,owni,1
ż,ama,1
ż,ern,1
ż,czyzna,1
ż,ołą,1
ż,ółka,1
ż,liw,1
ż,ądać,1
ż,aniec,1
łyż,k,1
łyż,ka,1
łyż,w,1
k,oryczka,1
k,ok,1
k,rój,1
k,sja,1
k,ia,1
k,odzie,1
k,oczow,1
k,ocz,1
k,aryn,1
k,ijka,1
k,olicz,1
k,orzy,1
k,lepto,1
k,rwa,1
k,tato,1
k,ors,1
k,orn,1
k,red,1
k,skr,1
k,rem,1
k,apt,1
k,atowy,1
k,ańczy,1
k,bur,1
k,olon,1
k,any,1
k,ula,1
k,rta,1
k,ucyjny,1
k,rzemka,1
k,ojebca,1
k,ojeb,1
k,odnik,1
k,arb,1
k,rypto,1
k,rzele,1
k,aski,1
k,olend,1
k,iosk,1
k,ir,1
k,wietn,1
k,oni,1
k,oniczny,1
k,uk,1
k,im,1
k,raw,1
k,rzec,1
k,rzeczo,1
k,oznawca,1
k,teri,1
k,wil,1
k,opty,1
k,oszu,1
k,cjona,1
k,wart,1
k,rzes,1
k,waś,1
k,urować,1
k,wiat,1
k,arta,1
k,osa,1
k,lat,1
k,to,1
k,adzi,1
k,ienka,1
k,ajać,1
k,arstw,1
k,ał,1
k,ark,1
k,obie,1
k,obi,1
k,lec,1
k,alista,1
k,ali,1
k,arny,1
k,arn,1
k,omi,1
k,cj,1
k,owity,1
k,owi,1
k,ac,1
k,ontent,1
k,st,1
k,tro,1
k,tyl,1
k,leon,1
k,łę,1
k,łęb,1
k,tualny,1
k,ałac,1
k,cze,1
k,roń,1
k,roko,1
k,ładny,1
k,arstwo,1
k,arst,1
k,unda,1
k,und,1
k,towa,1
k,owo,1
k,owodny,1
k,odl,1
k,rom,1
k,romny,1
k,osić,1
k,ronim,1
k,aro,1
k,olano,1
k,łop,1
k,uzy,1
k,omen,1
k,agani,1
k,ół,1
k,ociąg,1
k,tyw,1
k,obra,1
k,rata,1
k,opyt,1
k,urtka,1
k,rosta,1
k,umać,1
k,uma,1
k,rucze,1
k,aniec,1
k,osi,1
k,ut,1
k,rw,1
k,aszta,1
k,asz,1
k,ośba,1
k,upe,1
k,tat,1
k,tatu,1
k,sp,1
k,radać,1
k,ube,1
k,opis,1
k,ownica,1
k,rewnia,1
k,so,1
k,atarski,1
k,owniczka,1
k,racać,1
k,ubek,1
k,tur,1
k,oa,1
k,oz,1
k,ocia,1
k,rzyd,1
k,tru,1
k,trum,1
k,od,1
k,arc,1
k,aniczny,1
k,rusz,1
k,am,1
k,ame,1
k,rzyk,1
k,sportow,1
k,sykański,1
k,roić,1
k,ejowy,1
k,ilo,1
k,osy,1
k,ute,1
k,okos,1
k,oba,1
k,obal,1
k,oło,1
k,rzyw,1
k,ór,1
k,szyk,1
k,akać,1
k,ośnik,1
k,analiza,1
k,iewka,1
k,orna,1
k,nota,1
k,inowy,1
k,usić,1
k,łon,1
k,apka,1
k,ap,1
k,ańczyk,1
k,rą,1
k,ard,1
k,ółka,1
k,ul,1
k,teria,1
k,te,1
k,lejka,1
k,tar,1
k,olar,1
k,icz,1
k,trak,1
k,tra,1
k,et,1
k,eton,1
k,orac,1
k,ipie,1
k,ip,1
k,oż,1
k,ato,1
k,ucać,1
k,wint,1
k,wari,1
k,omar,1
k,oma,1
k,se,1
k,ojniejszy,1
k,wencja,1
k,łos,1
k,rzem,1
k,ez,1
k,ologiczn,1
k,obr,1
k,rut,1
k,łyk,1
k,resk,1
k,apu,1
k,atura,1
k,aka,1
k,ona,1
k,onan,1
k,rok,1
k,oniak,1
k,onia,1
k,atniejszy,1
k,ere,1
k,ang,1
k,urka,1
k,il,1
ł,tos,1
ł,to,1
ł,enk,1
ł,ób,1
ł,ąb,1
ł,azić,1
ł,ote,1
ł,pracownik,1
ł,pracowni,1
ł,osy,1
ł,ycha,1
ł,kański,1
ł,ty,1
ł,ódz,1
ł,apka,1
ł,otr,1
ł,ug,1
ł,że,1
ł,nocny,1
ł,kownik,1
ł,ykać,1
ł,uchy,1
ł,ywa,1
ł,uto,1
ł,pić się,1
ł,pi,1
ł,pić,1
ł,nian,1
ł,nia,1
ł,asny,1
ł,opi,1
ł,agie,1
ł,agi,1
ł,ag,1
ł,adza,1
ł,adz,1
ł,or,1
ł,och,1
ł,ec,1
ł,kowal,1
ł,opiec,1
ł,tar,1
ł,otnik,1
ł,usty,1
ł,ośnik,1
ł,aski,1
ł,otek,1
ł,osz,1
ł,oszka,1
ł,terz,1
ł,uszec,1
ł,oniowy,1
ł,ościan,1
ł,osny,1
ł,odz,1
ł,amaj,1
ł,apać,1
ł,nuta,1
ł,nu,1
ł,oma,1
ł,niany,1
ł,ono,1
ł,owc,1
ł,ódka,1
ł,ame,1
ł,kowy,1
ł,ysz,1
ł,metal,1
ł,me,1
ł,met,1
ł,wy,1
ł,ode,1
ł,taw,1
ł,yszeć,1
ł,ysze,1
ł,ob,1
ł,odówka,1
ł,yst,1
ł,pować,1
ł,ówny,1
ł,ówn,1
ł,aman,1
ł,ecz,1
ł,ga,1
ł,ęk,1
ł,bi,1
ł,upe,1
ł,tajski,1
ł,taj,1
ł,kol,1
ł,ci,1
ł,udzi,1
ł,otni,1
ł,szywka,1
ł,ócić,1
ł,ożo,1
ł,opal,1
ł,ęd,1
ł,oska,1
ł,anka,1
ł,onie,1
ł,oni,1
ł,tko,1
ł,onąć,1
ł,own,1
ł,ądek,1
ł,omy,1
ł,oski,1
ł,szywy,1
ł,wik,1
ł,ożn,1
ł,aniec,1
ł,uży,1
ł,czały,1
ł,fi,1
ł,yż,1
y,jnik,1
y,glądać,1
y,rządzić,1
y,śny,1
y,tnik,1
y,nać,1
y,logować,1
y,łam,1
y,łudz,1
y,musz,1
y,str,1
y,ciel,1
y,skr,1
y,fi,1
y,pac,1
y,malny,1
y,tów,1
y,nniejszy,1
y,ter,1
y,pędzić,1
y,spala,1
y,żą,1
y,ciecz,1
y,tszy,1
y,nieść,1
y,biskup,1
y,kolwiek,1
y,septy,1
y,wie,1
y,nal,1
y,kona,1
y,lofon,1
y,lan,1
y,woł,1
y,siłek,1
y,dosta,1
y,lowy,1
y,ser,1
y,se,1
y,dum,1
y,gie,1
y,tk,1
y,pominanie,1
y,pomina,1
y,zator,1
y,ró,1
y,rn,1
y,stor,1
